names,scores,logfoldchanges,pvals,pvals_adj
VCAM1,23.737322,4.790648,1.4854208619627237e-124,2.3024023360422218e-122
LIF,7.896697,1.717687,2.8639088269526858e-15,7.398431136294438e-14
MEG3,7.227982,2.2876298,4.902242640607784e-13,8.442751214380072e-12
THBS2,6.4479556,2.0748003,1.1336900601178975e-10,1.2551568522733867e-09
CCL2,4.4795704,0.97769773,7.479343686118518e-06,5.449530246224162e-05
IFI27,4.141149,0.9958198,3.4557005852434905e-05,0.0002231806627969754
LTF,3.9463253,0.9131164,7.935974166449671e-05,0.00045558370214803667
COL6A2,3.6652174,0.89779836,0.0002471285754942141,0.0012768309733867727
CXCL1/2/3,2.9274745,0.83732426,0.0034172696166539476,0.012918946111740534
TNNT2,2.4495196,0.61687994,0.014304693557925121,0.043475049048595955
C1QC,-2.4558442,-1.0700256,0.014055406089471643,0.043475049048595955
IL20,-2.472183,-1.1512449,0.013429075680880158,0.04247972919462091
RGS1,-2.4749203,-0.79572195,0.013326591762458134,0.04247972919462091
FYN,-2.7115006,-0.9747501,0.006697943056020339,0.022569155949633754
ATF3,-2.827062,-1.3330194,0.004697724807339423,0.016181052114169123
KLF2,-2.8314145,-1.6828815,0.004634264312309059,0.016181052114169123
SLC12A3,-2.8344238,-3.3668895,0.004590842317766288,0.016181052114169123
AGR2,-2.8682914,-1.5707246,0.004126953826523073,0.015230424835978007
TNNC1,-2.941399,-1.0497072,0.0032673327181541195,0.012660914282847213
LUM,-2.977766,-1.4157355,0.002903575886207729,0.011539852881082
TLR2,-3.0465722,-0.9216407,0.0023146678409841463,0.009441408298751123
SPARCL1,-3.070222,-1.1756649,0.0021389981882994676,0.008960668086119391
IL7R,-3.0776176,-1.2100686,0.0020866245823737356,0.008960668086119391
DLL1,-3.175106,-1.3729124,0.001497817480273461,0.006633191698353899
PAPPA2,-3.1974804,-1.5553296,0.0013863381202473774,0.00632007084230422
DUSP2,-3.3176663,-1.5805634,0.00090772868861051,0.004263574143473608
MGP,-3.4205272,-0.6591115,0.0006249987153620643,0.003027337527534999
TCF7,-3.6161332,-1.253316,0.00029903660453066134,0.0014951830226533067
TAGLN,-3.8066385,-1.1292582,0.00014086842387876907,0.0007529174379727312
IGFBP3,-3.8322432,-1.0482337,0.00012698010526136563,0.0007029255826968455
SLC26A4,-4.0416207,-2.7079818,5.308307250243338e-05,0.00031645677837989126
HLA-DPA1,-4.082425,-1.0034357,4.4568208637959066e-05,0.0002763228935553462
DCN,-4.390923,-1.822275,1.1287056918720526e-05,7.606494880007312e-05
CLEC4A,-4.4723954,-1.2149678,7.734817123673005e-06,5.449530246224162e-05
ADGRF5,-4.8116326,-2.6430552,1.4970220446743612e-06,1.16019208462263e-05
CD14,-5.1740947,-1.5099008,2.2901888108794842e-07,1.8683119246648425e-06
SLC8A1,-5.6795754,-3.1468349,1.3502944405267773e-08,1.1627535460091692e-07
KIT,-5.696135,-2.3211071,1.2255366282642787e-08,1.1174010434174305e-07
CSF1R,-5.815845,-1.6004955,6.032833284971488e-09,5.8443072448161293e-08
SLC26A7,-6.153093,-2.93551,7.59861888014764e-10,7.851906176152561e-09
EGF,-6.642065,-3.8059003,3.0931791921232635e-11,3.68802134445466e-10
S100A4,-6.763305,-2.0436158,1.3487867039713684e-11,1.7421828259630176e-10
S100A2,-7.0004635,-0.5562434,2.551170144051602e-12,3.5948306575272574e-11
CRIP1,-7.198382,-1.5346022,6.093138700635949e-13,9.444364985985721e-12
SLC4A9,-7.269143,-4.173194,3.6177464690629063e-13,7.009383783809381e-12
COL9A2,-7.4873786,-2.2945402,7.026283645896786e-14,1.5558199501628598e-12
TACSTD2,-7.9563737,-1.7242407,1.7715490941943574e-15,5.4918021920025083e-14
RGS2,-8.134093,-2.462045,4.150318081978528e-16,1.6082482567666798e-14
SCNN1G,-10.433947,-3.6357749,1.7352844852641994e-25,8.965636507198363e-24
GATA3,-12.366406,-3.8055513,3.971970934840255e-35,3.0782774745011976e-33
