names,scores,logfoldchanges,pvals,pvals_adj
SLC13A3,8.655956,1.6507041,4.8879597988353015e-18,1.566306296741366e-16
CRIP1,8.652178,2.96262,5.052600957230213e-18,1.566306296741366e-16
KLF2,8.465822,1.590453,2.543513680786487e-17,6.570743675365091e-16
IGFBP6,6.109228,1.2715473,1.0011406369223565e-09,1.7241866524773916e-08
PAPPA2,5.7333145,1.6382072,9.848676961337442e-09,1.3877681172793668e-07
IGHG1,4.679685,1.0073828,2.8731555047934486e-06,2.7833693952686533e-05
IGKC,3.865233,0.77345145,0.00011098323824889089,0.0008601200964289044
CCL3/L1/L3,3.7403116,0.50130785,0.00018379219663830636,0.0013565614513779754
SERPINE1,3.7096426,0.7851843,0.0002075519162468187,0.0014148410909815068
BGN,3.015032,0.5858089,0.0025695213894664994,0.014224136263118123
CCL4/L1/L2,2.8900423,1.1380615,0.003851899585030739,0.018856721151048406
PLVAP,2.8754883,0.8811461,0.004034031398150082,0.018856721151048406
SPARCL1,2.8713944,1.6734895,0.004086651572670706,0.018856721151048406
SEMA3A,2.8675747,0.92836297,0.004136313026681586,0.018856721151048406
IGHG2,2.766627,0.61862653,0.005663948911759183,0.02438644670340759
PSCA,2.754387,3.3289225,0.005880219665275984,0.024633352651831825
TIE1,2.6786046,0.8630943,0.007392965166208274,0.029382297455443143
SLPI,2.6602716,1.4159424,0.00780776578162043,0.02951716332076016
TOP2A,2.6247559,0.6260205,0.00867111128854276,0.03200052975533637
S100A9,2.5767262,1.5865202,0.009974094961244814,0.035953132999835956
TM4SF1,2.4898536,0.81448054,0.012779574149305677,0.04306160854657348
LTF,-2.5261908,-0.6822684,0.011530684348737963,0.03971680164565298
IL7R,-3.00145,-0.75971234,0.0026869712591669425,0.014361398109340555
CSF1R,-3.1103249,-0.50685674,0.0018688170569603358,0.010728394215883409
IGFBP3,-3.7067401,-0.7249126,0.00020994416188757842,0.0014148410909815068
MEG3,-3.8834288,-1.6621346,0.00010299365208130415,0.0008402113722422181
DLL1,-4.4187117,-1.3358511,9.929099465261224e-06,8.550057872863831e-05
ATF3,-4.503791,-2.2785077,6.675196410777732e-06,6.0862084921796965e-05
SLC26A4,-4.8114524,-2.9877014,1.4983750197851352e-06,1.548320853777973e-05
TNNC1,-5.021069,-1.4519746,5.13846634860254e-07,5.689016314524241e-06
S100A2,-5.0597477,-1.5406786,4.198118181575489e-07,5.005448601109237e-06
RGS2,-5.2213073,-1.6157107,1.7766447145801643e-07,2.2948327563327123e-06
EGF,-6.004269,-3.088187,1.9219555510466586e-09,2.9790311041223208e-08
SLC4A9,-7.3148465,-3.6411605,2.5767531832648094e-13,4.9924592925755684e-12
COL9A2,-7.3230615,-1.5894296,2.4237640565652923e-13,4.9924592925755684e-12
SCNN1G,-9.332028,-2.3462048,1.0386351909205064e-20,5.36628181975595e-19
SLC8A1,-10.718744,-4.6334653,8.312384714638369e-27,6.442098153844736e-25
GATA3,-13.65709,-2.7341328,1.8315648588623834e-42,2.8389255312366943e-40
