names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IGFBP7,95.22153,1.7102286,0.0,0.0,0.7338049170788479
CRYAB,93.82842,1.5266933,0.0,0.0,0.3090122199592668
ZFP36,85.90347,0.93633634,0.0,0.0,0.28249199883619436
MGP,82.12045,1.58469,0.0,0.0,0.252673116089613
HSPA1A/B,77.55656,0.99654,0.0,0.0,0.3077065755018912
MT2A,76.201614,1.2080444,0.0,0.0,0.46722432353796917
MHC I,71.910355,0.7459894,0.0,0.0,0.8161805353505964
IFITM3,71.35544,0.8470634,0.0,0.0,0.3544188245562991
TAGLN,69.03527,1.3495646,0.0,0.0,0.261059790514984
DCN,66.506065,1.1019248,0.0,0.0,0.22697846959557755
HSPB1,59.699265,0.7181011,0.0,0.0,0.4605251672970614
CD74,58.18855,0.8708037,0.0,0.0,0.3316736979924353
THBS1,56.98703,1.293105,0.0,0.0,0.26416933372126855
PSAP,55.36317,0.6398979,0.0,0.0,0.4837794588303753
TPM2,50.98667,0.9462056,0.0,0.0,0.18619435554262437
COL6A2,48.636963,1.5126424,0.0,0.0,0.12876782077393076
XIST,46.920887,2.8723402,0.0,0.0,0.08731815536805354
VIM,45.306248,0.25539264,0.0,0.0,0.239249345359325
ACTA2,45.239777,1.3325877,0.0,0.0,0.12867326156531858
ANXA2,45.050865,0.85850173,0.0,0.0,0.18698719813791098
EZR,41.3442,0.7877847,0.0,0.0,0.29575938318300843
CALD1,40.539574,0.77448815,0.0,0.0,0.1768984579575211
MRC2,40.145306,1.4096303,0.0,0.0,0.11388201920279313
ADIRF,39.568916,0.6234207,0.0,0.0,0.34382091940645915
CLU,38.340313,1.0562235,0.0,0.0,0.19344268257201047
JUN,38.24017,0.34293565,0.0,0.0,0.2547752400349142
KLF2,38.193424,0.67657685,0.0,0.0,0.1543060808844923
HLA-DRB,36.97226,0.68227905,3.197011309652794e-299,4.156114702548631e-298,0.25335685190573176
IL32,36.951168,0.36162737,6.975709691935841e-299,8.952160771317663e-298,0.19695228396857725
SRGN,35.105064,0.7761148,5.642311577340152e-270,6.80476372158734e-269,0.13910750654640675
MT1X,34.85383,0.78236663,3.725664061036296e-266,4.4397496727349196e-265,0.25463703811463484
DUSP1,33.500404,-1.3063594,4.755009725915379e-246,5.534610157722436e-245,0.3981051789351178
SERPINE1,33.018085,1.7061863,4.4687863554137745e-239,5.141672576746194e-238,0.08568519057317428
IFITM1,32.248924,0.610051,3.6420632696891205e-228,4.0962981269200106e-227,0.23187009019493746
PDGFRA,31.883656,1.3451313,4.499112719419262e-223,5.004013146820757e-222,0.0902058481233634
COL27A1,31.400854,0.98645335,1.9697892215374298e-216,2.0976159688925182e-215,0.11716977014838521
TNXA/B,30.435268,1.2580281,1.8767312274838224e-203,1.977482061801375e-202,0.08911114343904568
BGN,30.307571,0.9170227,9.110784310261253e-202,9.499890723511994e-201,0.14371181262729124
TNFRSF14,29.966795,0.5253402,2.6587222879900317e-197,2.7436917631732187e-196,0.23076447483270293
ACSM2B,29.697184,0.71318287,8.349133578079433e-194,8.274735358076745e-193,0.27047206866453305
