gene,importance_mean,importance_std
SLC8A1,0.02233333333333337,0.005686240703077329
VCAM1,0.015500000000000059,0.002114762923408259
MEG3,0.014666666666666727,0.004876246279442611
TLR2,0.010666666666666724,0.0029059326290271177
TACSTD2,0.009333333333333383,0.003741657386773958
CRIP1,0.009333333333333383,0.004841946348777996
SRGN,0.009000000000000053,0.002260776661041764
COL6A2,0.008666666666666711,0.003711842908553338
EGF,0.008333333333333382,0.007110243002567181
KLF2,0.00833333333333337,0.003496029493900517
TAGLN,0.008166666666666721,0.0033706247360261138
CLEC4A,0.008000000000000052,0.00531245915016976
CCL18,0.00800000000000004,0.0024494897427831696
HLA-DQB1/2,0.00783333333333337,0.004219662967057402
SPARCL1,0.007333333333333358,0.005228129047119385
COL9A2,0.006666666666666721,0.005676462121975474
SPOCK2,0.00666666666666671,0.0030731814857643067
SERPINE1,0.006500000000000039,0.002929732638541162
GATA3,0.006500000000000039,0.00564948375222611
TNFSF9,0.006500000000000039,0.005134307266916465
DUSP2,0.00633333333333338,0.003144660377352187
TCF7,0.00616666666666672,0.002986078811194824
S100A9,0.006000000000000038,0.0034318767136623392
RAG1,0.005833333333333368,0.002608745973749762
FCER1G,0.005833333333333368,0.0027131367660166088
TOP2A,0.00566666666666672,0.006463573143221766
SLC26A7,0.005666666666666709,0.0055377492419454045
PAPPA2,0.005666666666666709,0.0042295258468165
MARCO,0.00550000000000006,0.002587362449376679
LYZ,0.005500000000000049,0.0025873624493766667
KIT,0.005500000000000038,0.00494694069321861
TIE1,0.0055000000000000274,0.004716990566028308
CD14,0.0053333333333333895,0.004702245326555294
MS4A6A,0.005333333333333379,0.00208166599946614
IL2,0.005333333333333379,0.002081665999466113
CCL8,0.005166666666666708,0.004179978734661487
MGP,0.005166666666666708,0.004112987559751035
CCL2,0.005166666666666708,0.003452052529534661
SCNN1G,0.005166666666666697,0.003833333333333343
IGFBP6,0.004833333333333389,0.004681523968396042
IGKC,0.004833333333333379,0.0033706247360261224
SLC26A4,0.004833333333333379,0.002833333333333349
PTGDS,0.004833333333333367,0.002522124325070254
ATF3,0.004833333333333367,0.0026299556396765754
IGHM,0.004833333333333367,0.0027335365778094517
ITGB6,0.004666666666666719,0.004876246279442601
INHBA,0.004666666666666719,0.0019436506316150974
CXCL12,0.004666666666666719,0.0022110831935702674
THBS2,0.004666666666666708,0.003144660377352208
IL1B,0.004666666666666708,0.004396968652757631
PSCA,0.004500000000000048,0.0035000000000000096
COL3A1,0.004333333333333367,0.0036666666666666683
TRPM6,0.004333333333333367,0.0024944382578493043
LUM,0.004166666666666719,0.0015365907428821352
ITGAX,0.004166666666666719,0.0036704525909242213
CD163,0.004166666666666696,0.0027131367660166326
CARMN,0.004000000000000048,0.003179797338056493
TNNC1,0.0038333333333333774,0.00236290781312629
COL1A1,0.0038333333333333665,0.001674979270186804
SLPI,0.003666666666666729,0.0017950549357115058
MYH11,0.003666666666666718,0.003711842908553337
HLA-DRA,0.003666666666666707,0.0024494897427831653
HLA-DPA1,0.003333333333333377,0.004216370213557853
IGFBP3,0.003333333333333366,0.002472066162365233
SNAI2,0.003333333333333366,0.0030731814857643007
IGHG1,0.0028333333333333765,0.004890466917040401
OLFM4,0.0028333333333333656,0.002114762923408259
IFI27,0.002666666666666706,0.003431876713662349
CCL21,0.002666666666666706,0.004027681991198193
AGR2,0.0025000000000000577,0.0008333333333333526
RGS5,0.0025000000000000577,0.0021408720964441945
MS4A4A,0.0025000000000000465,0.0025000000000000022
CFH,0.0025000000000000465,0.0011180339887498958
FYN,0.0025000000000000356,0.003095695936834445
ANGPT2,0.0025000000000000356,0.004031128874149263
S100A4,0.002333333333333376,0.00448454134902456
PLVAP,0.002333333333333365,0.0034318767136623527
EOMES,0.002333333333333354,0.0020000000000000018
IGF2,0.0021666666666666943,0.004412734098291238
ACTA2,0.002000000000000035,0.0020816659994661296
SST,0.002000000000000035,0.002211083193570261
SPINK1,0.002000000000000035,0.0029627314724385246
TM4SF1,0.002000000000000035,0.003231786571610887
WT1,0.002000000000000035,0.002211083193570269
RGS1,0.001833333333333398,0.0018929694486000937
TEK,0.0018333333333333756,0.0022912878474779085
TTR,0.0018333333333333756,0.0034520525295346468
OLR1,0.0018333333333333645,0.002409472049133496
IGHA1,0.0016666666666667273,0.0029814239699997077
PDGFRA,0.0016666666666667273,0.0032489314482696667
SLC13A3,0.0016666666666667052,0.0034960294939004907
HCK,0.0016666666666667052,0.0010540925533894842
FABP4,0.0016666666666667052,0.001666666666666661
DLL1,0.0016666666666667052,0.002886751345948131
COL1A2,0.0016666666666667052,0.0019720265943665464
SLC4A9,0.0016666666666667052,0.003162277660168388
IDO1,0.001666666666666694,0.0022360679774997916
C11orf96,0.0015000000000000458,0.002733536577809464
RGS2,0.0015000000000000347,0.0025221243250702513
CTLA4,0.0013333333333333864,0.002211083193570279
MKI67,0.0013333333333333751,0.0030550504633038923
RAMP2,0.001333333333333364,0.0022110831935702757
CXCR4,0.001333333333333364,0.0038586123009300686
CDH11,0.0011666666666667047,0.0026925824035672614
CSF1R,0.0011666666666666937,0.005112620550059332
CCL3/L1/L3,0.0011666666666666826,0.004017323597731335
C1QA,0.0010000000000000453,0.002494438257849291
CD44,0.0010000000000000453,0.0028087165910587906
IL7R,0.0010000000000000453,0.003887301263230198
