gene,importance
SLC8A1,0.037589937251482554
CRIP1,0.030610939463791932
GATA3,0.02739459940975185
IL7R,0.024596495321684207
EGF,0.022301681111548777
CSF1R,0.02204693235465083
SLC13A3,0.01981551161806039
CD14,0.018891500025393394
TCF7,0.018650067116175676
SCNN1G,0.016957765231461606
CXCR4,0.01622719034970894
CDH19,0.0157813037817337
KLF2,0.014700241269245871
MEG3,0.014502600961885024
TOP2A,0.013324525415931963
VCAM1,0.01311459327468475
HLA-DPA1,0.012882538676349396
SLC12A3,0.012874697132711894
ANGPT2,0.012836774240851317
SLC4A9,0.012511433431923447
FYN,0.010678296686590483
TACSTD2,0.010549538035314356
CLEC4A,0.010281017868249122
SPINK1,0.010145171152827807
CCL8,0.009918331415224598
IGFBP6,0.009889997430779972
RGS1,0.009604930536739133
TNNC1,0.009453398471395699
TLR2,0.009227350377641086
MYH11,0.009081233412150167
PAPPA2,0.008849002434696914
COL9A2,0.008679663631505246
ATF3,0.008574665784301695
SERPINE1,0.00855888138157426
SLC26A4,0.008542479185971522
CXCL12,0.008481553531527748
CLEC14A,0.007975027850526544
MS4A6A,0.007916090881928387
MKI67,0.007563249713623213
S100A2,0.007521516132825609
CCL11,0.007316465269184719
HLA-DQB1/2,0.007179670419296195
RGS2,0.006886809442458125
IGHM,0.006859477293123389
SPARCL1,0.006840231312505344
ITGB6,0.00660327274545031
THBS2,0.006296772535801781
COL1A1,0.006182049104587658
SLC26A7,0.006109822059707112
SRGN,0.006007083571366814
REG1A,0.0057781782671590285
TTR,0.005680817468769659
HLA-DRA,0.005672176485016309
DLL1,0.005645510780457829
TAGLN,0.0054814316735840585
IGHG1,0.005428010143055155
IDO1,0.005412886894493513
LDB2,0.005408745425046676
LUM,0.005318902011788466
COL3A1,0.005266357722180175
CTLA4,0.005183916757065652
ADGRF5,0.005175297876625082
IGFBP3,0.005113129009360795
C11orf96,0.005010020885928691
HCK,0.004858320429916511
MGP,0.004769630458231629
KIT,0.004769015347746664
CD44,0.004730959959381445
LTF,0.00469582915027283
CCL3/L1/L3,0.004652358178499769
IL20,0.0045568274243442414
NPHS2,0.004550399763295477
DUSP2,0.0045439621482393396
CCL4/L1/L2,0.004541782616123503
CCL19,0.004470806545166718
CCL2,0.004393795303413066
PSCA,0.004369311604336616
PLVAP,0.004306372488140083
IGKC,0.004241054042825429
S100A4,0.004216281058000621
CDH11,0.004175282244333509
SLPI,0.004133747644822251
CD163,0.0041293597537560185
SPOCK2,0.004098477703660532
SEMA3A,0.004022952466892447
CCL21,0.004019232472521935
BGN,0.0040068267016006185
LTB,0.0039916477419122695
CCL20,0.003973110262979579
IFI27,0.0038923202423661093
CD34,0.003841110320375496
C1QC,0.0038266098517173584
LIF,0.003822517662579605
CXCL1/2/3,0.0038201829579307413
JCHAIN,0.00381949184855596
C1QA,0.003814060745305117
IGHA1,0.00381230783381305
DCN,0.003773138545462072
CLEC5A,0.003753149921898798
CCL5,0.0036191993036064087
CFH,0.0035973165186712276
TRPM6,0.0035327832992160567
C1QB,0.003461223780360489
TM4SF1,0.0034494699299408658
CD69,0.00342781490670452
LYZ,0.0034267259072738427
COL6A2,0.0034046904490508643
FN1,0.0033886538902099376
ACTA2,0.003376223533188869
MS4A4A,0.003335863744006516
CCL18,0.0033203432746252504
TNFSF9,0.0032434410906303462
IGF2,0.003231548897190169
OLR1,0.003196151881557756
CD36,0.003174098774247766
TNNT2,0.0031092037291369137
IGHG2,0.0030248459996808008
S100A9,0.003023142122167316
DUSP5,0.003013783748831228
COL1A2,0.002964898377378023
COL6A3,0.0028720908650661397
PECAM1,0.002868477685536299
OLFM4,0.002808237033634457
RGS5,0.002766563227871255
CXCL8,0.0026980753159727994
TIE1,0.0026391052757521803
CARMN,0.0026264915731761674
IL1B,0.0026194469437708216
PTPRQ,0.0026130793994233294
UPK3A,0.0025999705674625666
IL11,0.0025846680750205454
SST,0.002581930813060534
FCGBP,0.002536911341421591
RAG1,0.002525376485226149
MRC1,0.002517940740976865
RAMP2,0.002508889253794115
PTGDS,0.002460466237489508
UBE2C,0.002433460753789172
PDGFRA,0.0024247499249204136
TPSAB1/B2,0.0024125945882656273
WT1,0.002403369466425055
SNAI2,0.0023707174876612756
AGR2,0.002361980852257089
TEK,0.002200485592415381
PDGFRB,0.002133714317101954
NKG7,0.002123386638625124
MMP9,0.0021211792633427855
FCER1G,0.0020843898342551197
MARCO,0.0019315447084221086
INHBA,0.0019079548941761712
IL2,0.0018970478718428152
FABP4,0.0018621864695858583
S100B,0.001812029864451165
ITGAX,0.0017207653458436156
EOMES,0.001297306185437696
